  Sucursal: SUC01 | Producto: P100 | Unidades: 4015 | Importe: $1063022.53
  Sucursal: SUC01 | Producto: P101 | Unidades: 2779 | Importe: $1051903.95
  Sucursal: SUC01 | Producto: P102 | Unidades: 2063 | Importe: $1052493.76
  Sucursal: SUC01 | Producto: P103 | Unidades: 2785 | Importe: $1648188.13
  Sucursal: SUC01 | Producto: P104 | Unidades: 2712 | Importe: $2088022.61
  Sucursal: SUC01 | Producto: P105 | Unidades: 2489 | Importe: $1902345.35
  Sucursal: SUC01 | Producto: P106 | Unidades: 2398 | Importe: $2238944.61
  Sucursal: SUC01 | Producto: P107 | Unidades: 2895 | Importe: $2902189.47
  Sucursal: SUC01 | Producto: P108 | Unidades: 605 | Importe: $614157.07
  Sucursal: SUC01 | Producto: P109 | Unidades: 948 | Importe: $1003512.65
  Sucursal: SUC01 | Producto: P110 | Unidades: 1096 | Importe: $1313691.98
  Sucursal: SUC01 | Producto: P111 | Unidades: 1116 | Importe: $1281715.32
  Sucursal: SUC01 | Producto: P112 | Unidades: 881 | Importe: $1250955.61
  Sucursal: SUC01 | Producto: P113 | Unidades: 1190 | Importe: $1484639.81
  Sucursal: SUC01 | Producto: P114 | Unidades: 841 | Importe: $1380695.97
  Sucursal: SUC01 | Producto: P115 | Unidades: 1012 | Importe: $1114421.74
  Sucursal: SUC01 | Producto: P116 | Unidades: 504 | Importe: $755060.46
  Sucursal: SUC01 | Producto: P117 | Unidades: 1065 | Importe: $2098615.27
  Sucursal: SUC01 | Producto: P118 | Unidades: 608 | Importe: $1066226.21
  Sucursal: SUC01 | Producto: P119 | Unidades: 809 | Importe: $1708845.18
  Sucursal: SUC01 | Producto: P120 | Unidades: 923 | Importe: $1486815.94
  Sucursal: SUC01 | Producto: P121 | Unidades: 925 | Importe: $1660782.84
  Sucursal: SUC01 | Producto: P122 | Unidades: 1194 | Importe: $2051821.60
  Sucursal: SUC01 | Producto: P123 | Unidades: 880 | Importe: $1843952.42
  Sucursal: SUC01 | Producto: P124 | Unidades: 1143 | Importe: $2817349.31
  Sucursal: SUC01 | Producto: P125 | Unidades: 798 | Importe: $2356655.13
  Sucursal: SUC01 | Producto: P126 | Unidades: 899 | Importe: $2474869.14
  Sucursal: SUC01 | Producto: P127 | Unidades: 1236 | Importe: $3162432.18
  Sucursal: SUC01 | Producto: P128 | Unidades: 784 | Importe: $1917402.03
